id,brand,perfume_name,keywords,photo_url,smell_note
1,Volare,BOHEMIO CHERRY ROSÉ ELIXIR,"bohemio cherry rosé elixir, cherry rose, bohemio cherry",https://i.postimg.cc/L8NSkkp0/BOHEMIO-CHERRY-ROSE-ELIXIR.jpg,"TOP NOTE: CHERRY, LIQUOR. MIDDLE NOTE: ROSE, JASMINE, STRAWBERRY. BASE NOTE: VANILLA, TONKA BEAN, SANDALWOOD."
2,Volare,BOHEMIO COFFEE FLORAL HAZE,"bohemio coffee floral haze, coffee haze, bohemio coffee",https://i.postimg.cc/NjPVfdYH/BOHEMIO-COFFEE-FLORAL-HAZE.jpg,"TOP NOTE: COFFEE, PINK PEPPER. MIDDLE NOTE: JASMINE, VIOLET, IRIS. BASE NOTE: VANILLA, MUSK, SANDALWOOD."
